ROI,Area,Mean_Intensity,Perimeter,Eccentricity,Circularity
97,217.0,0.9926267281105992,56.87005768508881,0.7565522155712112,0.8431449833350892
98,62.0,0.996774193548387,33.21320343559643,0.9067906689752468,0.7062850641509748
99,141.0,0.9872340425531914,44.87005768508881,0.8209718290122433,0.8800669685007642
100,193.0,0.9901208981001727,51.798989873223334,0.7870229902098222,0.9039087524474988
101,176.0,0.9923863636363635,50.04163056034261,0.7860001438770536,0.8832011526241036
102,429.0,0.9951981351981352,78.76955262170047,0.7383212560345398,0.8688611894843844
103,335.0,0.9948457711442785,69.01219330881976,0.6640863092651192,0.8838997494128823
104,678.0,0.9939429695181909,108.22539674441617,0.8575981269099773,0.7274132117786297
105,50.0,0.9842666666666667,23.556349186104047,0.5259977155141276,1.1323062421575827
106,288.0,0.9912962962962963,61.11269837220809,0.3861492070959439,0.9690349295560667
107,336.0,0.9912103174603173,70.76955262170047,0.41351008136952344,0.8430556456866444
108,309.0,0.9851348435814457,63.35533905932738,0.5147122978768499,0.9673906922175275
109,204.0,0.9939869281045752,54.2842712474619,0.7332005998758644,0.8699454232107492
110,55.0,0.9905454545454545,28.970562748477143,0.8883647496739283,0.8234906845804332
111,151.0,0.9806622516556293,54.526911934581186,0.8867727715014714,0.6382120591642289
112,75.0,0.9860444444444443,29.556349186104047,0.6041425831886609,1.0788710755509403
113,93.0,0.9794265232974911,35.798989873223334,0.6484175351180952,0.9119085078947073
114,93.0,0.9865232974910395,34.62741699796952,0.7399578389344166,0.9746588233310057
115,572.0,0.9872843822843823,92.91168824543142,0.5399057143369254,0.8326551832857778
116,239.0,0.9898186889818689,62.76955262170047,0.8183480877909559,0.7622715277170572
117,191.0,0.9919022687609076,51.45584412271571,0.7229356545427579,0.9065125418428018
118,171.0,0.9874853801169592,50.2842712474619,0.7003757811279814,0.8498487765870216
119,59.0,0.9902824858757061,27.798989873223334,0.5355871902455756,0.9594091255755065
120,194.0,0.9948797250859106,50.04163056034261,0.6693030996167407,0.973528543233387
121,182.0,0.9902930402930402,57.35533905932738,0.8626813376754576,0.6952380760778977
122,235.0,0.988,55.941125496954285,0.6945591780498734,0.943659522264618
123,75.0,0.9948444444444444,31.798989873223327,0.7366770819936779,0.9320613054577823
124,237.0,0.9903234880450069,61.83452377915607,0.6546547236625501,0.7789259438668671
